> FastAINN/T59_1_physico-chemical - {'alpha': 0.01, 'bs': 'auto', 'early_stopping_min_delta': 0.0001, 'early_stopping_patience': 20, 'emb_drop': 0.1, 'epochs': 'auto', 'layers': None, 'lr': 0.01, 'ps': 0.1, 'smoothing': 0.0}
Fold	Accuracy	Recall	Specificity	Precision	MCC
0	0.7083333333333334	0.6923076923076923	0.7272727272727273	0.75	0.4181210050035454
2	0.6041666666666666	0.7307692307692307	0.45454545454545453	0.6129032258064516	0.19306455273922218
3	0.5416666666666666	0.5384615384615384	0.5454545454545454	0.5833333333333334	0.08362420100070908
4	0.5	0.52	0.4782608695652174	0.52	-0.0017391304347826088
1	0.4375	0.5	0.36363636363636365	0.48148148148148145	-0.13696356726888637
MEAN:	0.5583333333333333	0.5963076923076922	0.5138339920948616	0.5895436081242533	0.11122141220796153
SD:  	0.0926087948787203	0.09564530134114821	0.12156961659470117	0.09256806100434271	0.18761830081769698

> CatBoostModel/T95_5_performance - {'allow_writing_files': False, 'depth': 6, 'iterations': 10000, 'l2_leaf_reg': 3, 'learning_rate': 0.05, 'random_seed': 0}
Fold	Accuracy	Recall	Specificity	Precision	MCC
4	0.8333333333333334	0.92	0.7391304347826086	0.7931034482758621	0.6733323619579761
2	0.75	0.7692307692307693	0.7272727272727273	0.7692307692307693	0.4965034965034965
3	0.75	0.6153846153846154	0.9090909090909091	0.8888888888888888	0.539791896359413
1	0.7291666666666666	0.8461538461538461	0.5909090909090909	0.7096774193548387	0.45534092627175043
0	0.5208333333333334	0.46153846153846156	0.5909090909090909	0.5714285714285714	0.05267829510341783
MEAN:	0.7166666666666667	0.7224615384615385	0.7114624505928854	0.746465819435786	0.4435293952392108
SD:  	0.10424996669330669	0.16495751649597756	0.11759142389496066	0.10485138687293664	0.2087037243472737

> CatBoostModel/T61_3_all - {'allow_writing_files': False, 'depth': 6, 'iterations': 10000, 'l2_leaf_reg': 3, 'learning_rate': 0.05, 'random_seed': 0}
Fold	Accuracy	Recall	Specificity	Precision	MCC
4	0.8333333333333334	0.92	0.7391304347826086	0.7931034482758621	0.6733323619579761
0	0.7708333333333334	0.7307692307692307	0.8181818181818182	0.8260869565217391	0.5475171299613324
2	0.75	0.8076923076923077	0.6818181818181818	0.75	0.4947274449181537
3	0.7083333333333334	0.6923076923076923	0.7272727272727273	0.75	0.4181210050035454
1	0.6666666666666666	0.6923076923076923	0.6363636363636364	0.6923076923076923	0.32867132867132864
MEAN:	0.7458333333333333	0.7686153846153847	0.7205533596837943	0.7622996194210587	0.4924738541024672
SD:  	0.05651941652604392	0.08662836355825423	0.06084389377041539	0.0452086969141125	0.11670840094809515

