#Complex	IC50	 E_elec	 E_vdw	 E_gbsa	 MD_sasa	 MD_h1	 MD_h2	 MD_h3	 IC_AA	 IC_PP	 IC_CC	 IC_AP	 IC_CP	 IC_AC	 ENM_EXP	 ENM_R6	 RFCB	 RFHA	 ZRANK	 ZRANKr	 DFIRE	 prodigy	 NIS_A	 NIS_C	 foldx
001428_2_42__1B2530	15.1	-961.363235	-527.752144	1381.174537	-31.990907	15.000000	11.500000	-2.217333	15.166667	6.666667	21.166667	13.666667	20.500000	38.166667	103.758821	248.277088	23.933183	126.271667	-186.429000	-496.066000	-15.783876	-20.417667	43.138333	19.525000	-7.052457
00836_2_5__1B2530	1.35	-2522.780375	-499.428729	2846.930565	-31.653385	14.666667	13.000000	-2.017303	14.166667	5.500000	17.166667	15.500000	23.333333	32.833333	102.918768	244.991038	27.246817	151.725000	-206.607833	-473.273500	-14.984344	-19.768167	43.450000	19.925000	-5.298280
0260_V5_C36__1B2530	3.58	-1611.803395	-516.665099	2010.368385	-32.078171	14.166667	11.333333	-1.722453	14.666667	6.833333	18.000000	14.833333	21.666667	33.500000	103.673034	247.669733	22.126833	67.586667	-221.974500	-538.108833	-15.644539	-19.945667	40.925000	18.198333	-6.840689
0815_V3_C3__1B2530	33.2	-66.302232	-492.273572	491.384475	-30.551137	12.500000	11.333333	-1.623619	11.333333	8.500000	14.833333	15.333333	21.166667	32.833333	100.139910	248.190910	27.162533	77.318333	-197.954167	-474.324833	-14.600274	-18.494333	41.440000	19.618333	-5.590932
0921_V2_C14__1B2530	0.729	-1051.428368	-484.718260	1440.674803	-31.333988	12.000000	10.500000	-1.179919	14.166667	8.000000	15.666667	15.666667	20.333333	30.333333	103.297001	244.353500	23.989683	179.665000	-172.667500	-421.447000	-14.044883	-18.207167	43.666667	18.716667	-2.165480
16055_2_3__1B2530	1.38	-1522.551306	-467.345635	1896.541162	-29.999215	12.000000	10.333333	-1.283938	12.333333	6.000000	17.166667	12.666667	17.333333	32.833333	99.211873	244.737786	23.459283	119.996667	-165.184167	-414.934667	-14.589187	-18.312333	42.901667	20.488333	-6.632615
231965_C1__1B2530	0.168	-1558.392689	-484.980635	1957.698333	-30.320854	13.166667	11.333333	-0.508232	11.500000	5.833333	17.333333	19.000000	20.166667	29.000000	103.490550	247.534219	22.074667	103.748333	-183.093833	-448.144333	-14.279872	-20.465000	44.553333	18.610000	-5.250670
247_23__1B2530	21.9	-1220.051295	-483.760640	1591.703057	-29.371658	15.166667	12.000000	-1.717834	10.666667	9.000000	14.666667	19.500000	20.666667	28.500000	100.827724	243.937710	19.087750	11.673333	-184.109167	-451.024833	-14.815005	-19.098333	42.558333	19.490000	-9.151785
25710_2_43__1B2530	1.46	-495.561915	-507.833800	913.869032	-31.093516	14.333333	11.500000	-2.327934	13.333333	8.666667	15.000000	17.166667	21.833333	31.333333	102.208505	245.171545	21.361317	88.361667	-190.053333	-464.123667	-14.654286	-18.619833	43.423333	19.628333	-4.509872
25925_2_22__1B2530	0.801	-1129.523760	-493.624653	1501.387495	-30.892156	14.500000	12.333333	-2.512909	11.833333	7.166667	19.166667	15.500000	19.333333	33.333333	101.333585	245.585534	20.246433	96.580000	-211.947333	-509.773167	-15.737633	-19.858000	42.636667	19.116667	-7.091775
